Date/Time,Word Count,en,ja-JP
2020.04.20-15.33.21,0,0,0
2020.04.20-15.35.51,14,14,0
2020.04.20-15.37.13,2,2,0
2020.04.20-15.46.31,4,4,0
2020.04.20-15.48.09,2,2,0
2020.04.20-15.49.21,2,2,2
2020.04.20-16.15.06,50,50,0
2020.04.20-16.25.44,50,50,50
2020.04.20-16.34.37,50,50,43
2020.04.20-16.35.36,50,50,50
2020.04.20-22.16.12,0,0,0
2020.04.21-18.23.55,55,55,0
2020.04.21-18.27.45,55,55,48
2020.04.21-18.30.52,55,55,55
2020.04.21-18.32.42,59,59,48
2020.04.21-18.34.22,61,61,56
2020.04.21-18.35.39,61,61,58
2020.04.21-18.38.57,61,61,61
2020.04.21-18.39.57,60,60,59
2020.04.21-18.40.39,60,60,60
2020.04.22-03.26.23,152,152,48
2020.04.22-03.27.27,75,75,48
2020.04.22-03.35.05,75,75,73
2020.04.22-03.35.14,73,73,73
